"";"RMSE";"MAE";"MASE";"sMAPE"
"seasonal_naive";6.916577665892621;5.733732159932455;2.462955534139455;0.11354630121307911
"drift";7.343951619388725;5.804852926406359;2.4935058424714724;0.10668375057250407
"average";27.3317918142796;26.51753274573641;11.390749028047571;0.7781451858403539
"xgboost";6.871407579062026;5.655915101369222;2.429528797470781;0.10679399159617542
"ets";7.362383969337019;5.782631512454058;2.4839605144122583;0.10259434124869554
"arima";7.38500808107086;5.670167514422472;2.4356509982686565;0.09259046716754214
