"";"RMSE";"MAE";"MASE";"sMAPE"
"seasonal_naive";5.608631600595682;4.910442972183228;4.501876007046697;0.3374805790977539
"drift";16.04963242275037;14.641003955643752;13.422818430102511;1.5719110446390203
"average";9.292739203193968;9.006766951125103;8.257370723583316;0.7304289199808418
"xgboost";8.459365837936904;7.439893392721812;6.820866823912643;0.6462702416902464
"ets";6.840334872787697;6.265850580791102;5.744508703837262;0.4489438067441791
"arima";50.77784478701249;41.20545100424691;37.777005513838915;1.0211155128743514
