"";"RMSE";"MAE";"MASE";"sMAPE"
"seasonal_naive";7.083849943385054;6.170999749501546;3.5763995528892125;0.28178107879726305
"drift";7.979950816924214;7.212910578473521;4.180238407879732;0.32219301106595005
"average";15.609137450944049;15.210628036445181;8.815311216484929;1.2009124145478034
"xgboost";4.499161170205555;3.4181908210118612;1.9810106336407278;0.13364641843191694
"ets";14.785299642252905;13.877273555855181;8.042566351504163;0.5586920086598897
"arima";7.179612692704041;6.28472205072318;3.6423072507910694;0.287855178576751
