"";"RMSE";"MAE";"MASE";"sMAPE"
"seasonal_naive";3.6060528388344006;3.0319934209187815;2.140006749454301;0.06016923661736208
"drift";3.7697634336609465;3.238772492795372;2.2859531774408457;0.06492951662587415
"average";25.12486127003754;24.973954218144065;17.626829338962025;0.7502239305099819
"xgboost";2.994374352205393;2.3748663584391276;1.6762008786191984;0.04393071158836123
"ets";3.7435944000922716;3.212923841349612;2.26770897935764;0.06419566960515033
"arima";4.082288815817479;3.537446144015182;2.4967595812690138;0.07543836346665564
