"";"RMSE";"MAE";"MASE";"sMAPE"
"seasonal_naive";4.626544853038532;4.328000060717264;6.611583454339415;0.26664742220990323
"drift";4.3578856077993136;4.049756099781544;6.186529585904951;0.26052276749690995
"average";6.680875533228476;6.485836891020398;9.907960091180783;0.6441701793386045
"xgboost";4.753387389033312;4.479400404294332;6.8428671864402775;0.28395437283858577
"ets";4.8283702536367805;4.54681596857774;6.945853236146402;0.29229299916892704
"arima";3.6870064611128734;3.312103954497057;5.05966991621894;0.20842895610300827
