"";"RMSE";"MAE";"MASE";"sMAPE"
"seasonal_naive";7.545465488809908;6.80951984723409;4.674560731712444;0.22622397630872648
"drift";8.116489720648573;7.3763459186437785;5.063672292375391;0.2480333795241485
"average";14.454068932716794;14.003350312518505;9.612940846321303;0.7478048367666866
"xgboost";8.695584867837994;7.855354865392049;5.392499649199662;0.2994540577129778
"ets";5.025076543747083;3.8791581666376995;2.6629425928219725;0.0938298571384947
"arima";7.515676442393046;6.755025669856859;4.637151876552407;0.22469356950691854
