"";"RMSE";"MAE";"MASE";"sMAPE"
"seasonal_naive";2.089322556303366;1.6967361609141034;2.299247010204738;0.06267797178246046
"drift";1.81271611188024;1.5250163709883793;2.0665495392160858;0.05551228200871313
"average";12.776436618308376;12.628412413419616;17.11276045979041;0.5941369510816126
"xgboost";3.7814311110431995;3.1887483914693204;4.321072641860297;0.12264477173081519
"ets";2.289844768749698;2.0010437228040874;2.711614158366001;0.07261713637326124
"arima";1.6832647414075848;1.3383933435852895;1.8136566925399469;0.03886831405209097
