"";"RMSE";"MAE";"MASE";"sMAPE"
"seasonal_naive";26.790748581125122;23.167417716979976;5.327334054910221;0.223358056794069
"drift";26.610692974337628;23.263121356122838;5.349341050347219;0.21797856209773048
"average";28.682203409649684;25.272449974071087;5.81138498224628;0.3531116304011441
"xgboost";21.534680394656327;20.16453679402669;4.636823355827672;0.19950047128429038
"ets";27.338458996479808;24.039951099988674;5.52797259227908;0.2276694410234813
"arima";24.01776740397238;20.28525366296101;4.664582128718644;0.1796434053464166
