"Date";"ETS";"ARIMA";"XGBoost";"SNaive";"Drift";"Average";"Real Values"
"2020-02-06";28.336587862634772;28.23365147260632;22.653745651245117;28.9378604888916;28.39282499593495;15.023591634811481;29.17784118652344
"2020-02-07";28.217281057203294;28.054397632163667;22.352371215820312;28.44789695739746;28.39774868571756;15.023591634811481;28.92786026000977
"2020-02-10";28.155176763687393;28.114162121139447;22.265552520751953;28.17791748046875;28.402672375500167;15.023591634811481;29.127843856811523
"2020-02-11";28.24526187662437;28.050910767225655;22.396451950073242;28.62788009643555;28.407596065282775;15.023591634811481;29.47781753540039
"2020-02-12";28.155873466836738;27.94329692487116;22.509485244750977;28.387901306152344;28.412519755065382;15.023591634811481;30.127769470214844
"2020-02-13";28.09655995138818;27.82247877770544;23.78006362915039;28.9378604888916;28.41744344484799;15.023591634811481;29.71780204772949
"2020-02-14";27.977567403003846;27.75298934234128;23.297616958618164;28.44789695739746;28.422367134630594;15.023591634811481;29.417823791503906
"2020-02-17";27.9157769261235;27.726235531382628;22.422046661376953;28.17791748046875;28.427290824413202;15.023591634811481;29.35782814025879
"2020-02-18";28.006175415939765;27.616452926927842;22.151681900024414;28.62788009643555;28.43221451419581;15.023591634811481;29.74779891967773
"2020-02-19";27.917099943929514;27.52682263317333;22.477970123291016;28.387901306152344;28.437138203978417;15.023591634811481;30.547739028930664
"2020-02-20";27.8580989278097;27.44531060796746;22.646900177001953;28.9378604888916;28.442061893761025;15.023591634811481;29.917787551879886
"2020-02-21";27.739418440957742;27.385238090225737;23.7808780670166;28.44789695739746;28.446985583543633;15.023591634811481;29.13784408569336
"2020-02-27";27.677939588464653;27.304032467471778;23.74493980407715;28.17791748046875;28.45190927332624;15.023591634811481;25.29812812805176
"2020-02-28";27.76864926617329;27.217577101685105;23.549455642700195;28.62788009643555;28.456832963108848;15.023591634811481;25.33812522888184
"2020-03-02";27.679884546209706;27.136519223204317;23.333370208740234;28.387901306152344;28.461756652891456;15.023591634811481;26.528038024902344
"2020-03-03";27.621193846939036;27.061452304692594;24.15541648864746;28.9378604888916;28.466680342674064;15.023591634811481;26.04807281494141
"2020-03-04";27.502823242385887;26.986384396647196;24.248414993286133;28.44789695739746;28.47160403245667;15.023591634811481;26.88801002502441
"2020-03-05";27.4416538382874;26.902401780859087;24.349382400512695;28.17791748046875;28.47652772223928;15.023591634811481;25.288129806518555
"2020-03-06";27.532672531131574;26.822662958059674;24.696563720703125;28.62788009643555;28.481451412021883;15.023591634811481;22.828310012817386
"2020-03-09";27.444216393688585;26.74460869253858;24.80020523071289;28.387901306152344;28.48637510180449;15.023591634811481;16.048810958862305
"2020-03-10";27.38583384496669;26.667561676922972;24.830244064331055;28.9378604888916;28.4912987915871;15.023591634811481;17.558700561523438
"2020-03-11";27.267770959632585;26.587481415497788;24.790294647216797;28.44789695739746;28.496222481369706;15.023591634811481;15.848827362060547
"2020-03-12";27.206908844064507;26.50739253499536;24.736204147338867;28.17791748046875;28.501146171152314;15.023591634811481;12.599068641662598
"2020-03-13";27.29823439539056;26.428584603915024;25.820478439331055;28.62788009643555;28.50606986093492;15.023591634811481;15.398859977722168
"2020-03-16";27.210084687019993;26.35011483479784;25.541019439697266;28.387901306152344;28.51099355071753;15.023591634811481;13.089032173156738
"2020-03-17";27.152008138599157;26.271134151341528;25.153411865234375;28.9378604888916;28.515917240500137;15.023591634811481;12.999037742614744
"2020-03-18";27.034250825431826;26.191380770925814;25.848405838012695;28.44789695739746;28.520840930282745;15.023591634811481;11.289164543151855
"2020-03-19";26.97369385453233;26.11236053476806;25.085140228271484;28.17791748046875;28.525764620065353;15.023591634811481;12.209096908569336
"2020-03-20";27.06532412366385;26.033492069418582;25.559886932373047;28.62788009643555;28.53068830984796;15.023591634811481;11.999112129211426
"2020-03-23";26.977478706869732;25.954517134245503;25.354232788085938;28.387901306152344;28.535611999630568;15.023591634811481;11.499150276184082
"2020-03-24";26.919706024429424;25.875192237610634;25.377403259277344;28.9378604888916;28.540535689413172;15.023591634811481;13.249019622802734
"2020-03-25";26.802252152278804;25.79598222636183;25.729162216186523;28.44789695739746;28.54545937919578;15.023591634811481;14.318940162658693
"2020-03-26";26.741998198063328;25.716948605226115;25.19375991821289;28.17791748046875;28.550383068978388;15.023591634811481;14.388936042785645
"2020-03-27";26.833931060176283;25.63787457584314;25.5019588470459;28.62788009643555;28.555306758760995;15.023591634811481;13.299015998840332
"2020-03-30";26.74638781329017;25.558701458988473;25.468595504760742;28.387901306152344;28.560230448543603;15.023591634811481;13.379011154174805
"2020-03-31";26.688916878312575;25.47948607532306;24.444673538208008;28.9378604888916;28.56515413832621;15.023591634811481;13.98896598815918
"2020-04-01";26.571764331806556;25.400370789249386;24.77459144592285;28.44789695739746;28.57007782810882;15.023591634811481;14.298942565917967
"2020-04-02";26.511811282043745;25.321246630252173;24.662473678588867;28.17791748046875;28.575001517891426;15.023591634811481;15.5088529586792
"2020-04-03";26.604044628042644;25.242082420618978;24.39280891418457;28.62788009643555;28.579925207674034;15.023591634811481;15.338866233825685
"2020-04-06";26.516801445099965;25.162885373672797;24.443363189697266;28.387901306152344;28.58484889745664;15.023591634811481;15.768834114074707
"2020-04-07";26.45963015474655;25.083712171040425;24.76457405090332;28.9378604888916;28.58977258723925;15.023591634811481;16.398784637451172
"2020-04-08";26.34277683416773;25.00455097990502;24.82158851623535;28.44789695739746;28.594696277021857;15.023591634811481;17.318717956542972
"2020-04-09";26.28312259225642;24.92536995761955;25.4322509765625;28.17791748046875;28.59961996680446;15.023591634811481;16.818754196166992
