"";"RMSE";"MAE";"MASE";"sMAPE"
"seasonal_naive";9.440029638833463;8.431377792358399;5.700421409541502;0.3191116309122372
"drift";9.587632214010773;8.6263678416245;5.832253415989065;0.3251420223768663
"average";7.005119284640389;5.725303083817993;3.870854927730744;0.3210601519389873
"xgboost";8.052906457884765;7.566959857940674;5.115991839250817;0.2955835729482683
"ets";7.205702581666267;5.614085851953222;3.795661394094227;0.1701279531823543
"arima";6.307795703286731;4.801218207941605;3.246084772673345;0.16548371660197173
