"Date";"ETS";"ARIMA";"XGBoost";"SNaive";"Drift";"Average";"Real Values"
"2020-02-06";32.69168583227749;32.65213603075545;32.912254333496094;32.72719955444336;32.66057957141744;11.78888676265138;32.575767517089844
"2020-02-07";32.5554345926657;32.647531033891795;32.79634094238281;32.11081314086914;32.66708352027629;11.78888676265138;32.996665954589844
"2020-02-10";32.500514104356;32.64368936071865;32.521793365478516;32.20380401611328;32.67358746913514;11.78888676265138;33.55460739135742
"2020-02-11";32.48271353497464;32.63963062581198;32.51307678222656;32.45830535888672;32.68009141799399;11.78888676265138;34.327892303466804
"2020-02-12";32.33627587734764;32.635635152995555;32.22801208496094;32.654075622558594;32.68659536685284;11.78888676265138;34.19084930419922
"2020-02-13";32.39329165045743;32.6316227882865;32.29219055175781;32.72719955444336;32.69309931571169;11.78888676265138;33.662277221679695
"2020-02-14";32.257489382170284;32.62761645003952;31.83452606201172;32.11081314086914;32.69960326457054;11.78888676265138;33.09455108642578
"2020-02-17";32.203017147831055;32.623609584873336;31.427213668823242;32.20380401611328;32.70610721342939;11.78888676265138;32.791114807128906
"2020-02-18";32.18566411627533;32.619604066335285;31.510787963867188;32.45830535888672;32.71261116228824;11.78888676265138;32.92815399169922
"2020-02-19";32.039673281536366;32.6155993584396;31.916934967041016;32.654075622558594;32.71911511114709;11.78888676265138;33.39798355102539
"2020-02-20";32.09713516380166;32.61159561416452;32.03188705444336;32.72719955444336;32.72561906000594;11.78888676265138;33.28052520751953
"2020-02-21";31.961778292140437;32.60759278949111;32.58884048461914;32.11081314086914;32.73212300886479;11.78888676265138;32.449630737304695
"2020-02-27";31.907750743098354;32.6035908967284;32.1141471862793;32.20380401611328;32.73862695772364;11.78888676265138;30.85097694396973
"2020-02-28";31.890841686709727;32.59958993207949;31.86083221435547;32.45830535888672;32.74513090658249;11.78888676265138;31.774423599243164
"2020-03-02";31.74529411820434;32.595589896352756;31.163469314575195;32.654075622558594;32.75163485544134;11.78888676265138;31.67011070251465
"2020-03-03";31.803198558964176;32.59159078903985;31.482585906982422;32.72719955444336;32.75813880430018;11.78888676265138;31.093929290771484
"2020-03-04";31.668283539250794;32.58759261000896;32.74127197265625;32.11081314086914;32.76464275315903;11.78888676265138;31.39196014404297
"2020-03-05";31.614697136800103;32.58359535902069;33.82594680786133;32.20380401611328;32.77114670201788;11.78888676265138;30.31906890869141
"2020-03-06";31.598228522834518;32.579599035866465;34.43753433227539;32.45830535888672;32.77765065087673;11.78888676265138;29.67334747314453
"2020-03-09";31.45312069376987;32.57560364032896;33.879295349121094;32.654075622558594;32.78415459973558;11.78888676265138;27.616973876953125
"2020-03-10";31.51146417217207;32.57160917219342;33.57801055908203;32.72719955444336;32.79065854859443;11.78888676265138;28.302431106567386
"2020-03-11";31.376987489484506;32.56761563124442;33.72360610961914;32.11081314086914;32.79716249745328;11.78888676265138;25.99770164489746
"2020-03-12";31.323838724622846;32.56362301726679;34.0384635925293;32.20380401611328;32.80366644631213;11.78888676265138;23.44462585449219
"2020-03-13";31.30780704998716;32.55963133004535;33.47261047363281;32.45830535888672;32.81017039517098;11.78888676265138;26.037443161010746
"2020-03-16";31.16313546316887;32.55564056936498;33.65849685668945;32.654075622558594;32.81667434402983;11.78888676265138;23.643310546875
"2020-03-17";31.221914487907384;32.551650735010625;33.93568801879883;32.72719955444336;32.82317829288868;11.78888676265138;25.034090042114254
"2020-03-18";31.087872656817517;32.54766182676726;33.26454162597656;32.11081314086914;32.82968224174753;11.78888676265138;23.295612335205078
"2020-03-19";31.035158049984283;32.54367384441992;33.02322006225586;32.20380401611328;32.83618619060638;11.78888676265138;22.69956398010254
"2020-03-20";31.01955984097507;32.53968678775369;32.984031677246094;32.45830535888672;32.842690139465226;11.78888676265138;21.90483283996582
"2020-03-23";30.8753210285465;32.5357006565537;32.76276779174805;32.654075622558594;32.849194088324076;11.78888676265138;20.384904861450195
"2020-03-24";30.934532137601174;32.531715450605134;33.04194641113281;32.72719955444336;32.855698037182925;11.78888676265138;22.351869583129886
"2020-03-25";30.800921701915016;32.527731169693226;33.513343811035156;32.11081314086914;32.862201986041775;11.78888676265138;23.44462585449219
"2020-03-26";30.748637802732098;32.52374781360326;33.930938720703125;32.20380401611328;32.868705934900625;11.78888676265138;24.09034538269043
"2020-03-27";30.733469614776823;32.51976538212057;33.25476837158203;32.45830535888672;32.875209883759474;11.78888676265138;22.81877136230469
"2020-03-30";30.589660137960806;32.51578387503053;32.316776275634766;32.654075622558594;32.881713832618324;11.78888676265138;23.95126533508301
"2020-03-31";30.649299898339557;32.51180329211858;31.528221130371094;32.72719955444336;32.888217781477174;11.78888676265138;22.93798446655273
"2020-04-01";30.516117430839905;32.5078236331702;31.63957977294922;32.11081314086914;32.89472173033602;11.78888676265138;21.272930145263672
"2020-04-02";30.4642608178548;32.503844897970914;31.766998291015625;32.20380401611328;32.90122567919487;11.78888676265138;21.37233543395996
"2020-04-03";30.44951923525546;32.49986708630632;31.319095611572266;32.45830535888672;32.90772962805372;11.78888676265138;20.53732109069824
"2020-04-06";30.306135684098315;32.495890197962034;31.309083938598633;32.654075622558594;32.91423357691257;11.78888676265138;22.048297882080078
"2020-04-07";30.366200691581675;32.491914232723744;31.81818389892578;32.72719955444336;32.92073752577142;11.78888676265138;22.86342811584473
"2020-04-08";30.233442793773136;32.487939190377176;32.114009857177734;32.11081314086914;32.92724147463027;11.78888676265138;24.036420822143555
"2020-04-09";30.182010074204406;32.483965070708116;32.3774528503418;32.20380401611328;32.93374542348912;11.78888676265138;23.36045837402344
