"";"RMSE";"MAE";"MASE";"sMAPE"
"seasonal_naive";5.207731174856279;4.431668774286904;3.726308599863865;0.33389446153567204
"drift";7.210960651073824;4.986121696128699;4.1925128213675755;0.2579597817122908
"average";3.7542158568714132;2.9713841173991513;2.498448046118923;0.18443139515645895
"xgboost";5.586485283985105;4.886841177940369;4.109034143793427;0.26829228666647414
"ets";5.649186200677483;4.825323188734937;4.057307576692433;0.3516284695253785
"arima";3.1720763126416958;2.5068403986140657;2.1078427589265956;0.21504694511623365
