"";"RMSE";"MAE";"MASE";"sMAPE"
"seasonal_naive";1.5571476946795146;1.2418999512990312;1.2936653435675192;0.02918159867679716
"drift";2.1145401324200384;1.804309258747476;1.8795172305772763;0.0504791490325648
"average";23.39253305512545;23.364164689281058;24.338039556496483;1.0284114142380583
"xgboost";2.5266087522613434;2.042284345626831;2.127411694383534;0.05272780542362032
"ets";10.480627130433914;9.418762626945313;9.811359423134572;0.24766911513598946
"arima";2.7146813443345863;2.4593937361710894;2.561907212689379;0.07223882816706947
